Recent Time,Number of Touches,Minimum Time,Maximum Time,Average Time
3.02,1,3.02,3.02,3.02
0.96,2,0.96,3.02,1.99
1.05,3,0.96,3.02,1.676667
0.25,4,0.25,3.02,1.32
1.20,5,0.25,3.02,1.296
1.13,6,0.25,3.02,1.268333
3.09,7,0.25,3.09,1.528571
1.16,8,0.25,3.09,1.4825
3.34,9,0.25,3.34,1.688889
0.72,10,0.25,3.34,1.592
3.02,11,0.25,3.34,1.721818
0.39,12,0.25,3.34,1.610833
0.89,13,0.25,3.34,1.555385
1.72,14,0.25,3.34,1.567143
3.27,15,0.25,3.34,1.680667
0.84,16,0.25,3.34,1.628125
0.64,17,0.25,3.34,1.57
0.65,18,0.25,3.34,1.518889
2.14,19,0.25,3.34,1.551579
2.44,20,0.25,3.34,1.596
0.52,21,0.25,3.34,1.544762
3.64,22,0.25,3.64,1.64
