X,Y,Z
116.5059,80.03423,-75.18697
117.7284,79.52293,-75.88801
116.1125,79.19213,-76.37375
114.9109,78.9113,-76.69413
114.0658,78.28577,-76.14846
114.4188,77.96268,-74.80873
114.206,77.40887,-73.71986
114.0471,76.6968,-72.38699
113.5664,76.1506,-71.33044
113.7393,75.74448,-69.92699
114.2801,75.73804,-68.78381
115.1218,76.02853,-66.89394
115.9339,77.46166,-65.03986
117.4458,78.93774,-62.37487
120.5598,79.51025,-59.24946
124.0085,80.35807,-56.85884
125.7231,80.6009,-56.29778
129.4797,80.33257,-55.29352
133.6479,81.40923,-54.54323
137.7708,83.77293,-53.41773
141.7119,86.25096,-52.8754
144.9632,87.45724,-50.65423
146.8238,88.71045,-49.41423
145.605,90.50775,-47.47208
147.6047,93.10952,-45.31802
149.0907,95.95771,-44.4314
159.9754,109.8071,-45.02982
173.7008,121.9252,-53.14685
184.2002,129.0604,-64.12454
192.9178,134.0875,-76.19939
200.8297,136.6285,-89.2512
209.7145,140.3093,-102.0228
218.7358,143.3534,-113.9931
229.1032,145.5261,-124.9759
236.8049,144.982,-135.5477
240.0321,144.4013,-140.5424
246.875,142.5576,-149.8631
254.603,141.1648,-158.6853
260.9002,146.782,-166.1967
267.2964,153.3179,-166.3479
273.5978,161.4311,-165.8564
278.7774,170.0169,-164.0722
281.176,174.4374,-162.998
285.8423,183.5957,-160.3908
291.0404,191.9707,-158.3451
293.6242,198.4425,-154.5967
297.2025,204.1207,-155.0347
299.0877,206.5216,-156.97
300.8028,208.0958,-159.8541
302.3837,209.2718,-162.3665
303.7246,210.6567,-164.0891
304.0783,211.1905,-165.7498
303.9142,211.6197,-167.7333
303.7682,211.9568,-168.6867
303.994,212.7661,-170.4185
304.7765,213.4969,-170.6289
306.2819,215.2667,-169.2679
307.4782,217.0018,-167.3593
308.6953,219.3287,-164.8731
309.6077,222.2566,-162.1671
310.6649,225.5887,-159.0126
311.4825,227.7579,-157.9143
311.3492,229.0416,-158.2957
310.8134,229.8624,-159.9251
309.874,230.196,-162.408
308.9921,230.649,-163.1234
307.6071,230.856,-164.2151
306.8655,230.8531,-164.9352
305.4774,230.7421,-166.3554
303.9651,229.7603,-168.3564
303.2576,229.3639,-169.0533
302.6521,228.6092,-170.2657
302.0577,226.6787,-172.4277
302.1385,225.4847,-174.8468
301.3535,224.8679,-177.3701
299.9387,225.2458,-178.94
298.6854,225.2641,-180.2206
297.9147,225.2163,-181.1494
297.0252,224.8645,-182.8076
296.0387,224.4126,-184.8311
295.4596,224.1113,-186.4914
295.0063,224.0092,-187.1587
294.6423,224.351,-186.6745
294.5354,225.4512,-185.1435
294.8724,228.1345,-180.1929
295.0847,228.9242,-178.1131
297.2189,230.4406,-171.0258
300.779,231.4756,-163.155
303.552,233.4984,-155.3381
305.8389,236.573,-145.785
305.7578,241.5721,-137.1336
305.9193,243.4801,-134.5623
306.5544,245.8591,-130.3332
306.3191,246.5193,-125.0806
310.3756,240.9386,-111.5751
312.4463,236.4597,-100.5503
315.622,232.3595,-87.13287
320.6988,224.7175,-70.68501
327.4745,210.3826,-52.15852
331.6252,201.9187,-43.26303
339.6755,180.2644,-23.90658
346.2269,162.5355,-7.524823
352.1008,147.2407,-1.108095
110.4652,259.8883,296.6983
105.9473,239.5458,262.24
102.216,233.2587,248.6124
101.484,236.5897,246.9014
101.3814,241.8666,246.6163
100.9572,245.9551,245.936
100.1052,250.2348,243.5122
-157.3096,256.5068,237.5881
99.58956,250.9248,241.9531
-158.8792,258.6079,238.1857
98.72953,251.965,239.1291
-159.2623,259.8665,236.5049
97.81203,252.5488,236.1756
-158.7635,260.1066,233.8762
97.19388,253.1727,233.6552
-158.2076,260.5676,231.3347
96.5154,253.3762,230.8448
-157.571,261.0402,228.4248
95.84544,252.9991,227.6334
-157.135,261.5118,226.1128
95.54688,253.1564,225.0641
-156.8557,262.0001,224.0238
95.51215,253.2762,223.9261
-156.6971,262.4039,222.8346
95.44479,253.89,221.9903
